customer_id,name,email,mobile,address,created_at,dob,sex,education_level,relationship,occupation,hobbies,aadhar_number,pan_number,account_number,ifsc_code,vehicle_model,vehicle_make,vehicle_type,insurance_city,insurance_state,policy_status,claim_type,claim_status,incident_city,incident_location,incident_time,incident_date,police_report,vehicles_involved,witnesses,claim_severity,vehicle_amount,property_amount,injury_amount,total_amount,fraudPrediction,fraudReason,fraud_probability,idv,ncb,policy_annual_premium,policy_csl,total_insurance_amount,umbrella_limit,year,addons
CUS-A82C-3A7F-B100,Nayantara Bhatt,samiha50@khosla.com,9125609767,"H.No. 992, Ben Path Jammu-710979",2022-11-15T17:04:06,17-07-1998,Female,Postgraduate,Divorced,Unemployed,Cupiditate vero.,286707000000,667435000000,921586000000,JJJJ08364,Baleno,Hyundai,SUV,Kolkata,West Bengal,APPROVED,Multiple Vehicle Collision,Pending,Delhi,Brigade Road,15:07,25-01-2025,No,1,0,Minor Damage,27973.84,2691.65,3206.53,51473.34,0,"Claim appears legitimate",0.15,300000,30,16500,1350000,1850000,2600000,2023,"[]"
CUS-7D8A-6C91-2294,Shanaya Viswanathan,armaansrinivas@kapadia-grewal.com,5100740899,"H.No. 269 Basak Marg, Vijayanagaram-162076",2023-07-19T15:13:43,29-04-1956,Female,College,Divorced,Unemployed,Praesentium itaque.,32994720178,997228000000,154259000000,CCCC09819,Swift,Tata,Sedan,Chandigarh,Maharashtra,REJECTED,Multiple Vehicle Collision,Pending,Mumbai,Camac Street,00:43,10-03-2025,Yes,2,0,Major Damage,21765.03,2489.33,9775.62,28608.88,0,"Documentation complete and verified",0.12,280000,20,15000,1200000,1600000,2200000,2022,"[]"
CUS-F13E-ABCD-7F1D,Shray Ghosh,thakurmehul@banik-raju.com,310450932,"42/035 Khalsa Path, Sagar-291189",2022-08-14T04:26:07,02-12-1964,Male,Graduate,Divorced,Employed,Minus dignissimos.,237557000000,563063000000,509892000000,ZZZZ06972,Verna,Tata,SUV,Chennai,Delhi,PENDING,Multiple Vehicle Collision,Pending,Bangalore,Linking Road,14:26,13-02-2025,No,1,2,Major Damage,17021.31,6364.81,4583.72,27834.4,0,"All evidences support the claim",0.18,250000,25,14500,1100000,1500000,2000000,2021,"[]"
CUS-445E-EA91-3642,Riaan Grewal,vasahansh@hotmail.com,6112648629,"58, Guha Nagar Bangalore 573547",2020-10-09T21:39:49,24-11-1966,Female,College,Single,Self-employed,Corrupti harum.,427145000000,435074000000,502542000000,RRRR02808,Seltos,Toyota,Hatchback,Chandigarh,Tamil Nadu,APPROVED,Single Vehicle Collision,Pending,Bangalore,Camac Street,15:42,30-01-2025,Yes,2,3,Minor Damage,31281.7,9055.05,8974.53,14675.95,0,"Police report verifies all details",0.08,320000,30,17000,1400000,1900000,2700000,2023,"[]"
CUS-AB10-45C2-3F8B,Raunak Viswanathan,badamidevansh@dua-loke.com,8321644829,86/447 Mander Path Sangli-Miraj & Kupwad 166972,2024-10-04T15:46:51,02-10-1999,Male,College,Single,Employed,In libero suscipit.,429598000000,737781000000,268236000000,XXXX07638,Baleno,Toyota,SUV,Kolkata,West Bengal,PENDING,Multiple Vehicle Collision,Pending,Bangalore,Brigade Road,18:49,22-03-2025,No,3,0,Major Damage,34416.73,3376.11,1841.03,48655.73,0,"Witness statements corroborate claim",0.05,290000,20,16000,1250000,1700000,2400000,2022,"[]"
CUS-C1E9-B29A-87D5,Kabir Sodhi,pchahal@yahoo.com,8257173407,H.No. 489 Kala Street Tiruchirappalli-386401,2022-04-19T02:30:19,08-10-1999,Male,Graduate,Single,Self-employed,Animi a facere nam.,56335541434,405473000000,871645000000,SSSS02407,Seltos,Toyota,Sedan,Ahmedabad,Punjab,PENDING,Single Vehicle Collision,Pending,Chandigarh,Camac Street,22:34,18-03-2025,No,1,1,Major Damage,8632.92,2759.92,9439.72,25740.06,0,"Timeline and evidence consistent",0.11,260000,15,14000,1000000,1400000,1900000,2021,"[]"
CUS-EC0A-9B21-D33A,Bhamini Sachdev,jdoctor@kota.org,576081160,43/294 Ben Ganj Jaunpur 625662,2023-10-21T16:30:02,07-07-2002,Male,Postgraduate,Single,Unemployed,Dignissimos qui.,629469000000,459239000000,53875761600,EEEE02930,Seltos,Honda,Hatchback,Chennai,Delhi,PENDING,Single Vehicle Collision,Pending,Chennai,FC Road,08:29,10-02-2025,No,1,1,Major Damage,33289.05,1815.28,8616.3,9055.43,0,"No suspicious patterns identified",0.14,270000,20,15000,1100000,1500000,2100000,2022,"[]"
CUS-19D3-728E-CDF1,Aaryahi Swamy,osethi@gmail.com,3906031250,"84/567, Raval Nagar, Amaravati 747354",2020-05-11T05:16:42,04-04-1957,Male,Graduate,Divorced,Unemployed,Asperiores dolorem.,836213000000,187243000000,241908000000,AAAA07952,Venue,Tata,Sedan,Kolkata,Karnataka,REJECTED,Single Vehicle Collision,Pending,Chennai,Anna Salai,18:06,26-02-2025,Yes,1,2,Major Damage,41153.93,4571.42,6007.55,19722.35,0,"All documentation properly validated",0.09,240000,25,13500,950000,1300000,1800000,2021,"[]"
CUS-E2AF-A710-9246,Pihu Choudhry,amanichar@yahoo.com,9155875408,"53/34, Dugal Road Rohtak 530481",2020-01-29T14:37:57,23-08-1985,Male,Postgraduate,Single,Self-employed,Possimus nulla.,383739000000,40763260914,455613000000,ZZZZ08564,City,Hyundai,Sedan,Chandigarh,West Bengal,REJECTED,Single Vehicle Collision,Pending,Mumbai,FC Road,19:03,22-03-2025,Yes,3,0,Minor Damage,18715.93,7776.58,6425.68,52812.93,0,"Clean claim history",0.07,310000,30,17500,1300000,1800000,2500000,2023,"[]"
CUS-5031-58EF-3DA2,Dharmajan Baria,thakertarini@jhaveri.info,6860237324,83/47 Ramakrishnan Circle Jorhat 430191,2021-06-20T04:12:44,24-02-2004,Male,Graduate,Married,Employed,Nesciunt expedita.,48682522532,998719000000,636954000000,JJJJ01035,Seltos,Hyundai,Sedan,Bangalore,Karnataka,APPROVED,Theft,Pending,Chandigarh,Brigade Road,10:38,02-01-2025,Yes,3,2,Minor Damage,17871.63,1897.51,1332.72,16499.3,0,"Proper documentation and verification",0.13,280000,20,15500,1150000,1600000,2200000,2022,"[]"
